CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0_5.py
MEM 64591.632812 1683547492.6595
MEM 64591.632812 1683547492.7596
MEM 64591.632812 1683547492.8598
MEM 64591.632812 1683547492.9600
MEM 64591.632812 1683547493.0601
MEM 64591.632812 1683547493.1603
MEM 64591.632812 1683547493.2604
MEM 64591.632812 1683547493.3606
MEM 64591.632812 1683547493.4607
MEM 64591.632812 1683547493.5609
MEM 64591.632812 1683547493.6610
MEM 64591.632812 1683547493.7612
MEM 64591.632812 1683547493.8614
MEM 64591.632812 1683547493.9615
MEM 64591.632812 1683547494.0617
MEM 64591.632812 1683547494.1618
MEM 64591.632812 1683547494.2620
MEM 64591.632812 1683547494.3621
MEM 64591.632812 1683547494.4623
MEM 64591.632812 1683547494.5625
MEM 64591.632812 1683547494.6626
MEM 64591.632812 1683547494.7628
MEM 64591.632812 1683547494.8629
MEM 64591.632812 1683547494.9631
MEM 64591.632812 1683547495.0632
MEM 64591.632812 1683547495.1634
MEM 64591.632812 1683547495.2635
MEM 64591.632812 1683547495.3637
MEM 64591.632812 1683547495.4639
MEM 64591.632812 1683547495.5640
MEM 64591.632812 1683547495.6642
MEM 64591.632812 1683547495.7643
MEM 64591.632812 1683547495.8645
MEM 64591.632812 1683547495.9647
MEM 64591.632812 1683547496.0648
MEM 64591.632812 1683547496.1650
MEM 64591.632812 1683547496.2651
MEM 64591.632812 1683547496.3653
MEM 64591.632812 1683547496.4654
MEM 64591.632812 1683547496.5656
MEM 64591.632812 1683547496.6657
MEM 64591.632812 1683547496.7659
MEM 64591.632812 1683547496.8660
MEM 64591.632812 1683547496.9662
MEM 64591.632812 1683547497.0663
MEM 64591.632812 1683547497.1665
MEM 64591.632812 1683547497.2666
MEM 64591.632812 1683547497.3668
MEM 64591.632812 1683547497.4670
MEM 64591.632812 1683547497.5671
MEM 64591.632812 1683547497.6673
MEM 64591.632812 1683547497.7674
MEM 64591.632812 1683547497.8676
MEM 64591.632812 1683547497.9677
MEM 64591.632812 1683547498.0679
MEM 64591.632812 1683547498.1680
MEM 64591.632812 1683547498.2682
MEM 64591.632812 1683547498.3684
MEM 64591.632812 1683547498.4685
MEM 64591.632812 1683547498.5687
MEM 64591.632812 1683547498.6688
MEM 64591.632812 1683547498.7690
MEM 64591.632812 1683547498.8691
MEM 64591.632812 1683547498.9693
MEM 64591.632812 1683547499.0695
MEM 64591.632812 1683547499.1696
MEM 64591.632812 1683547499.2698
MEM 64591.632812 1683547499.3699
MEM 64591.632812 1683547499.4701
MEM 64591.632812 1683547499.5702
MEM 64591.632812 1683547499.6704
MEM 64591.632812 1683547499.7705
MEM 64591.632812 1683547499.8707
MEM 64591.632812 1683547499.9708
MEM 64591.632812 1683547500.0710
MEM 64591.632812 1683547500.1711
MEM 64591.632812 1683547500.2713
MEM 64591.632812 1683547500.3714
MEM 64591.632812 1683547500.4716
MEM 64591.632812 1683547500.5718
MEM 64591.632812 1683547500.6720
MEM 64591.632812 1683547500.7721
MEM 64591.632812 1683547500.8723
MEM 64591.632812 1683547500.9724
MEM 64591.632812 1683547501.0726
MEM 64591.632812 1683547501.1727
MEM 64591.632812 1683547501.2729
MEM 64591.632812 1683547501.3730
MEM 64591.632812 1683547501.4732
MEM 64591.632812 1683547501.5733
MEM 64591.632812 1683547501.6735
MEM 64591.632812 1683547501.7737
MEM 64591.632812 1683547501.8738
MEM 64591.632812 1683547501.9740
MEM 64591.632812 1683547502.0741
MEM 64591.632812 1683547502.1743
MEM 64591.632812 1683547502.2745
MEM 64591.632812 1683547502.3746
MEM 64591.632812 1683547502.4748
MEM 64591.632812 1683547502.5749
MEM 64591.632812 1683547502.6751
MEM 64591.632812 1683547502.7752
MEM 64591.632812 1683547502.8754
MEM 64591.632812 1683547502.9755
MEM 64591.632812 1683547503.0757
MEM 64591.632812 1683547503.1758
MEM 64591.632812 1683547503.2760
MEM 64591.632812 1683547503.3761
MEM 64591.632812 1683547503.4763
MEM 64591.632812 1683547503.5765
MEM 64591.632812 1683547503.6766
MEM 64591.632812 1683547503.7768
MEM 64591.632812 1683547503.8769
MEM 64591.632812 1683547503.9771
MEM 64591.632812 1683547504.0772
MEM 64591.632812 1683547504.1774
MEM 64591.632812 1683547504.2775
MEM 64591.632812 1683547504.3777
MEM 64591.632812 1683547504.4778
MEM 64591.632812 1683547504.5780
MEM 64591.632812 1683547504.6781
MEM 64591.632812 1683547504.7783
MEM 64591.632812 1683547504.8784
MEM 64591.632812 1683547504.9786
MEM 64591.632812 1683547505.0788
MEM 64591.632812 1683547505.1790
MEM 64591.632812 1683547505.2791
MEM 64591.632812 1683547505.3793
MEM 64591.632812 1683547505.4794
MEM 64591.632812 1683547505.5796
MEM 64591.632812 1683547505.6797
MEM 64591.632812 1683547505.7799
MEM 64591.632812 1683547505.8800
MEM 64591.632812 1683547505.9802
MEM 64591.632812 1683547506.0804
MEM 64591.632812 1683547506.1805
MEM 64591.632812 1683547506.2807
MEM 64591.632812 1683547506.3808
MEM 64591.632812 1683547506.4810
MEM 64591.632812 1683547506.5811
MEM 64591.632812 1683547506.6813
MEM 64591.632812 1683547506.7814
MEM 64591.632812 1683547506.8816
MEM 64591.632812 1683547506.9818
MEM 64591.632812 1683547507.0819
MEM 64591.632812 1683547507.1821
MEM 64591.632812 1683547507.2822
MEM 64591.632812 1683547507.3824
MEM 64591.632812 1683547507.4825
MEM 64591.632812 1683547507.5827
MEM 64591.632812 1683547507.6828
MEM 64591.632812 1683547507.7830
MEM 64591.632812 1683547507.8831
MEM 64591.632812 1683547507.9833
MEM 64591.632812 1683547508.0834
MEM 64591.632812 1683547508.1836
MEM 64591.632812 1683547508.2838
MEM 64591.632812 1683547508.3839
MEM 64591.632812 1683547508.4841
MEM 64591.632812 1683547508.5842
MEM 64591.632812 1683547508.6845
MEM 64591.632812 1683547508.7846
MEM 64591.632812 1683547508.8848
MEM 64591.632812 1683547508.9850
MEM 64591.632812 1683547509.0851
MEM 64591.632812 1683547509.1853
MEM 64591.632812 1683547509.2854
MEM 64591.632812 1683547509.3856
MEM 64591.632812 1683547509.4858
MEM 64591.632812 1683547509.5859
MEM 64591.632812 1683547509.6861
MEM 64591.632812 1683547509.7862
MEM 64591.632812 1683547509.8864
MEM 64591.632812 1683547509.9866
MEM 64591.632812 1683547510.0867
MEM 64591.632812 1683547510.1869
